dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
4725,3,1.33,1330,20,3.25,1,-7.074606433949349,50.05005619527752,1,0,0.8,0,0,1,0,1,0,0,1,0,0,0,0,0
4725,3,1.05,710,50,10.0,1,-7.0718685831622174,50.01132525751679,1,0,0.8,0,0,1,0,1,0,0,0,0,1,0,0,0
4935,3,1.07,713,49,7.5,1,-7.039014373716633,49.54772335338936,1,0,0.8,0,0,1,0,1,0,1,0,0,0,0,0,0
4935,3,1.14,1155,26,5.0,1,-7.0362765229295015,49.509187307128876,1,0,0.8,0,0,1,0,1,0,0,1,0,0,0,0,0
4935,3,1.25,1090,24,4.0,1,-7.028062970568104,49.393669118270566,1,0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1
5125,3,1.12,805,39,5.5,1,-7.019849418206707,49.278285854297046,1,0,1.0,0,0,1,0,1,0,1,0,0,0,0,0,0
5125,3,1.1,1265,24,6.5,1,-7.017111567419576,49.23985474961362,1,0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0
5125,3,1.07,511,78,8.0,1,-7.014373716632445,49.20143863658406,1,0,1.0,0,0,1,0,1,0,0,0,0,1,0,0,0
5125,3,2.87,5435,2,1.4,0,-7.01163586584531,49.16303751520831,1,0,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0
5225,3,1.01,578,64,13.0,1,-6.989733059548254,48.85636824374179,1,1,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0
5225,3,1.01,140,264,15.0,1,-6.9815195071868565,48.74161462923061,1,1,0.8,0,1,0,0,1,0,1,0,0,0,0,0,0
5225,3,1.01,433,106,15.0,1,-6.976043805612594,48.66518717782584,1,1,0.8,0,1,0,0,1,0,0,1,0,0,0,0,0
5225,3,1.07,1270,19,7.5,1,-6.970568104038328,48.58881969303649,1,1,0.8,0,1,0,0,1,0,0,0,1,0,0,0,0
5225,3,1.07,512,80,8.0,1,-6.965092402464066,48.51251217486266,1,1,0.8,0,1,0,0,1,0,0,0,0,1,0,0,0
5225,3,4.5,5585,2,1.2,0,-6.956878850102669,48.39816333500583,1,1,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0
5225,3,1.03,417,112,11.0,1,-6.943189596167009,48.2078817683218,1,0,0.8,0,0,0,0,0,1,1,0,0,0,0,0,0
5225,3,1.11,888,39,6.0,1,-6.940451745379878,48.1698704299466,1,0,0.8,0,0,0,0,0,1,0,1,0,0,0,0,0
5225,3,1.38,1010,30,2.87,1,-6.9377138945927435,48.13187408322521,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0
5225,3,1.28,2000,8,3.5,1,-6.934976043805612,48.09389272815774,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0
5225,3,1.7,5585,2,2.15,0,-6.932238193018481,48.05592636474414,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,1
5360,3,1.01,478,91,15.0,1,-6.9103353867214246,47.75273515697434,1,1,0.8,0,1,0,0,0,1,0,0,0,0,0,0,0
5360,3,1.05,530,75,9.0,0,-6.904859685147159,47.67708727157052,1,1,0.8,0,1,0,0,0,1,1,0,0,0,0,0,0
4945,3,1.07,519,82,7.5,1,-6.828199863107461,46.62431337054075,1,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0
4945,3,1.11,815,49,6.0,1,-6.82546201232033,46.58693168162788,1,0,0.6,0,0,1,0,0,0,0,1,0,0,0,0,0
4945,3,1.12,1730,9,6.0,0,-6.819986310746064,46.5122132787637,1,0,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0
5055,3,1.07,815,50,7.5,1,-6.809034907597535,46.362956372881776,1,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0
5055,3,1.1,895,39,6.5,1,-6.806297056810404,46.32567962554597,1,0,0.6,0,0,1,0,0,0,0,1,0,0,0,0,0
5055,3,1.2,782,53,4.5,1,-6.803559206023273,46.28841786986403,1,0,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0
5055,3,2.75,6305,2,1.44,1,-6.798083504449007,46.213939333461695,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0
5055,3,1.33,1835,9,3.4,0,-6.798083504449007,46.213939333461695,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,1
5105,3,1.01,555,78,13.0,1,-6.7323750855578375,45.3248742926399,1,1,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0
